"filename", "language", "TypeScript", "JSON", "TypeScript JSX", "CSS", "JSON with Comments", "Prisma", "JavaScript", "Markdown", "comment", "blank", "total"
"/home/tach/tach/nextjs/smartprogrammers/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 0, 182, 0, 0, 0, 0, 0, 0, 19, 201
"/home/tach/tach/nextjs/smartprogrammers/components/ui/form.tsx", "TypeScript JSX", 0, 0, 153, 0, 0, 0, 0, 0, 0, 26, 179
"/home/tach/tach/nextjs/smartprogrammers/components/ui/hover-card.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 0, 7, 30
"/home/tach/tach/nextjs/smartprogrammers/components/ui/input.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"/home/tach/tach/nextjs/smartprogrammers/components/ui/label.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 27
"/home/tach/tach/nextjs/smartprogrammers/components/ui/scroll-area.tsx", "TypeScript JSX", 0, 0, 43, 0, 0, 0, 0, 0, 0, 6, 49
"/home/tach/tach/nextjs/smartprogrammers/components/ui/switch.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
"/home/tach/tach/nextjs/smartprogrammers/components/ui/tabs.tsx", "TypeScript JSX", 0, 0, 48, 0, 0, 0, 0, 0, 0, 8, 56
"/home/tach/tach/nextjs/smartprogrammers/components/ui/textarea.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"/home/tach/tach/nextjs/smartprogrammers/components/ui/toast.tsx", "TypeScript JSX", 0, 0, 116, 0, 0, 0, 0, 0, 0, 14, 130
"/home/tach/tach/nextjs/smartprogrammers/components/ui/toaster.tsx", "TypeScript JSX", 0, 0, 32, 0, 0, 0, 0, 0, 0, 4, 36
"/home/tach/tach/nextjs/smartprogrammers/components/ui/use-toast.ts", "TypeScript", 160, 0, 0, 0, 0, 0, 0, 0, 3, 32, 195
"/home/tach/tach/nextjs/smartprogrammers/lib/ekiliRelay.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 27, 6, 70
"/home/tach/tach/nextjs/smartprogrammers/lib/utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/tach/tach/nextjs/smartprogrammers/middleware.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 46, 125
"/home/tach/tach/nextjs/smartprogrammers/next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 19, 0, 1, 2, 22
"/home/tach/tach/nextjs/smartprogrammers/package-lock.json", "JSON", 0, 9515, 0, 0, 0, 0, 0, 0, 0, 1, 9516
"/home/tach/tach/nextjs/smartprogrammers/package.json", "JSON", 0, 72, 0, 0, 0, 0, 0, 0, 0, 1, 73
"/home/tach/tach/nextjs/smartprogrammers/postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 1, 2, 9
"/home/tach/tach/nextjs/smartprogrammers/prisma/client.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/home/tach/tach/nextjs/smartprogrammers/prisma/schema.prisma", "Prisma", 0, 0, 0, 0, 0, 160, 0, 0, 4, 24, 188
"/home/tach/tach/nextjs/smartprogrammers/tailwind.config.ts", "TypeScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 2, 80
"/home/tach/tach/nextjs/smartprogrammers/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 26, 0, 0, 0, 0, 1, 27
"Total", "-", 1440, 9607, 4522, 66, 26, 160, 25, 85, 102, 1091, 17124
